instruction,output
"把这段会议记录拆成三个执行任务：测试同学周五前完成回归测试，前端同学下周三前上线按钮改版，后端同学本周内修完分页超时。","1. 回归测试｜负责人：测试｜截止：周五前 2. 按钮改版上线｜负责人：前端｜截止：下周三前 3. 分页超时修复｜负责人：后端｜截止：本周内"
"评审意见：变量名 tmp1 语义不明，建议改为 queryStartTime；循环里每次都新建连接，建议提到循环外复用。","1. 变量命名修正｜tmp1 → queryStartTime｜位置：查询参数构造段 2. 连接复用｜把连接创建提到循环外｜位置：数据遍历段"
"把客户反馈转成任务：登录页在弱网下加载超过十秒，安卓端偶发闪退，希望增加离线缓存。","1. 弱网加载优化｜目标：登录页十秒内完成加载 2. 安卓闪退排查｜优先级高｜复现路径待补充 3. 离线缓存需求｜转产品评估"
"这段周报帮我提炼三件事：完成了支付模块联调，卡在第三方证书过期，下周计划做压测。","1. 已完成：支付模块联调 2. 风险项：第三方证书过期（阻塞中） 3. 下周计划：压测"
"把这段需求拆成子任务：给运营后台加一个按地区筛选订单的报表，支持导出，数据延迟不超过一小时。","1. 地区筛选组件开发 2. 报表查询接口（含聚合） 3. 导出功能（CSV） 4. 数据管道延迟监控（≤1 小时告警）"
"评审意见：这个函数五十行做了三件事，建议拆成校验、转换、落库三个函数；魔法数字 86400 提取为常量。","1. 函数拆分｜拆成 validate/transform/persist 三函数 2. 常量提取｜86400 → SECONDS_PER_DAY"
"把故障复盘转成行动项：数据库慢查询导致接口超时，根因是缺索引，次要原因是缓存未命中。","1. 补建索引（根因修复） 2. 缓存命中率排查（次要原因） 3. 慢查询监控告警接入"
"任务拆分：为新人入职准备环境文档，包括开发环境搭建、代码仓库权限申请、首次提交流程演示。","1. 开发环境搭建文档（含常见坑） 2. 仓库权限申请流程说明 3. 首次提交演示脚本（含 PR 规范）"
"把这段测试反馈整理成清单：两个接口返回码不符合约定，一个字段命名风格不统一，文档示例跑不通。","1. 返回码对齐约定（两个接口） 2. 字段命名统一（改为 snake_case） 3. 文档示例修正并补自动化校验"
"需求拆分：给消息中心加已读回执功能，客户端和服务端都要改，上线前要灰度。","1. 服务端回执接口 2. 客户端已读上报 3. 灰度开关与放量计划 4. 回执数据统计报表"
